Plot_Type;Plant_Code;Plot_Code;Vegetation_Type;Chimp_Tree_Species;Chimp_Used_Tree;Tree_Height;DBH;DBH_Tree_class70;T_L_R_H;Species_Code;Species;Family;Prefered_Food;Fallback_Food;PreferredAndFallback;NAT
Sleeping;Pl_0004;Chim_001;SW;Yes;No;23.00;21.15;[20-30[;Tree;Esp_202;Lepidobotrys staudtii;Lepidobotryaceae;0;0;0;1
Sleeping;Pl_0011;Chim_001;SW;No;No;20.00;15.35;[10-20[;Tree;Esp_101;Desplatsia subericarpa;Tiliaceae;0;0;0;1
Sleeping;Pl_0012;Chim_001;SW;Yes;No;32.00;32.80;[30-40[;Tree;Esp_366;Uapaca vanhoutei;Euphorbiaceae;0;1;1;1
Sleeping;Pl_0013;Chim_001;SW;No;No;32.00;24.90;[20-30[;Tree;Esp_356;Trichilia sp;Meliaceae;0;0;0;1
Sleeping;Pl_0015;Chim_001;SW;Yes;No;34.00;32.80;[30-40[;Tree;Esp_366;Uapaca vanhoutei;Euphorbiaceae;0;1;1;1
Sleeping;Pl_0016;Chim_001;SW;Yes;No;10.00;16.53;[10-20[;Tree;Esp_363;Uapaca guineensis;Euphorbiaceae;0;1;1;1
Sleeping;Pl_0018;Chim_001;SW;Yes;No;38.00;35.67;[30-40[;Tree;Esp_366;Uapaca vanhoutei;Euphorbiaceae;0;1;1;1
Sleeping;Pl_0022;Chim_001;SW;No;No;13.00;12.74;[10-20[;Tree;Esp_219;Mammea africana;Clusiaceae;0;0;0;1
Sleeping;Pl_2106;Chim_084;OSF;No;No;48.00;167.52;[70-more[;Tree;Esp_047;Balanites wilsoniana;Zygophyllaceae;0;0;0;1
Sleeping;Pl_2449;Chim_100;OSF;No;No;8.00;14.33;[10-20[;Tree;Esp_082;Cola pachycarpa;Sterculiaceae;0;0;0;1
Sleeping;Pl_2476;Chim_101;SW;No;No;7.00;14.33;[10-20[;Tree;Esp_082;Cola pachycarpa;Sterculiaceae;0;0;0;1
Sleeping;Pl_2511;Chim_102;OSF;No;No;16.00;36.62;[30-40[;Tree;Esp_047;Balanites wilsoniana;Zygophyllaceae;0;0;0;1
Sleeping;Pl_0024;Chim_001;SW;Yes;No;29.00;34.40;[30-40[;Tree;Esp_304;Santiria trimera;Burseraceae;1;0;1;1
Sleeping;Pl_0028;Chim_001;SW;No;No;24.00;24.90;[20-30[;Tree;Esp_078;Coelocaryon preussii;Myristicaceae;0;0;0;1
Sleeping;Pl_0033;Chim_001;SW;Yes;No;20.00;15.64;[10-20[;Tree;Esp_031;Anthonotha macrophylla;Caesalpiniaceae;0;0;0;1
Sleeping;Pl_0036;Chim_001;SW;No;No;25.00;10.45;[10-20[;Tree;Esp_258;Pachypodanthium staudtii;Annonaceae;0;0;0;1
Sleeping;Pl_0037;Chim_001;SW;Yes;No;11.00;17.68;[10-20[;Tree;Esp_363;Uapaca guineensis;Euphorbiaceae;0;1;1;1
Sleeping;Pl_0038;Chim_001;SW;Yes;No;12.00;18.25;[10-20[;Tree;Esp_327;Strombosiopsis tetranda;Olacaceae;0;0;0;1
Sleeping;Pl_0042;Chim_002;OSF;No;No;30.00;31.56;[30-40[;Tree;Esp_168;Hylodendron gabunense;Caesalpiniaceae;0;0;0;1
Sleeping;Pl_0045;Chim_002;OSF;Yes;Yes;40.00;32.87;[30-40[;Tree;Esp_267;Pausinystalia lane-poolei;Rubiaceae;0;0;0;1
Sleeping;Pl_0047;Chim_002;OSF;Yes;Yes;39.00;53.82;[50-60[;Tree;Esp_163;Heisteria parvifolia;Olacaceae;1;0;1;1
Sleeping;Pl_0048;Chim_002;OSF;No;No;50.00;69.11;[60-70[;Tree;Esp_257;Ongokea gore;Olacaceae;0;0;0;1
Sleeping;Pl_0052;Chim_002;OSF;Yes;No;30.00;32.48;[30-40[;Tree;Esp_277;Plagiostyles africana;Euphorbiaceae;0;0;0;1
Sleeping;Pl_0054;Chim_002;OSF;Yes;No;10.00;15.06;[10-20[;Tree;Esp_217;Maesobotrya sp;Euphorbiaceae;0;0;0;1
Sleeping;Pl_0055;Chim_002;OSF;Yes;No;11.00;22.01;[20-30[;Tree;Esp_277;Plagiostyles africana;Euphorbiaceae;0;0;0;1
