Nesting_Site_Code;Nest_code;Animal_Species;Plot_Code;Vegetation_Type;VEG;Plant_Code;Tree_Site;Tree_Nest;T_L_R_H;Nest_height;Species_Code;Species;Family;Tree_Height;DBH;Nest_material;Integration;Nest_Type;Nest_Type2
S_Ch_001;N_Ch_001;Chimpanzee;Chim_070;Riparian forest;RIP;Pl_1742;Pl_1742-S_Ch_001;Pl_1742-N_Ch_001;Tree;19;Esp_163;Heisteria parvifolia;Olacaceae;19;14.01;Tree;Tree;Top;Height
S_Ch_001;N_Ch_002;Chimpanzee;Chim_070;Riparian forest;RIP;Pl_1742;Pl_1742-S_Ch_001;Pl_1742-N_Ch_002;Tree;19;Esp_163;Heisteria parvifolia;Olacaceae;19;14.01;Tree;Tree;Side;Height
S_Ch_002;N_Ch_003;Chimpanzee;Chim_070;Riparian forest;RIP;Pl_1744;Pl_1744-S_Ch_002;Pl_1744-N_Ch_003;Liana;29;Esp_174;Indigofera sp;Fabaceae;NA;6.05;Mixed;Tree-Liana;Side-Liana;Height
S_Ch_002;N_Ch_003;Chimpanzee;Chim_070;Riparian forest;RIP;Pl_1746;Pl_1746-S_Ch_002;Pl_1746-N_Ch_003;Tree;29;Esp_097;Desbordesia glaucescens;Irvingiaceae;30;21.97;Mixed;Tree-Liana;Side-Liana;Height
S_Ch_002;N_Ch_004;Chimpanzee;Chim_070;Riparian forest;RIP;Pl_1748;Pl_1748-S_Ch_002;Pl_1748-N_Ch_004;Tree;10;Esp_314;Sorindeia grandifolia;Anacardiaceae;12;14.97;Tree;Tree-Tree;Top-Top;Height
S_Ch_002;N_Ch_004;Chimpanzee;Chim_070;Riparian forest;RIP;Pl_1750;Pl_1750-S_Ch_002;Pl_1750-N_Ch_004;Tree;10;Esp_163;Heisteria parvifolia;Olacaceae;10;13.38;Tree;Tree-Tree;Top-Top;Height
S_Ch_003;N_Ch_005;Chimpanzee;Chim_070;Riparian forest;RIP;Pl_1759;Pl_1759-S_Ch_003;Pl_1759-N_Ch_005;Tree;18;Esp_163;Heisteria parvifolia;Olacaceae;26;21.02;Tree;Tree;Side;Height
S_Ch_004;N_Ch_006;Chimpanzee;Chim_070;Riparian forest;RIP;Pl_1755;Pl_1755-S_Ch_004;Pl_1755-N_Ch_006;Tree;17;Esp_202;Lepidobotrys staudtii;Lepidobotryaceae;23;23.89;Tree;Tree-Tree;Side-Side;Height
S_Ch_004;N_Ch_006;Chimpanzee;Chim_070;Riparian forest;RIP;Pl_1779;Pl_1779-S_Ch_004;Pl_1779-N_Ch_006;Tree;17;Esp_163;Heisteria parvifolia;Olacaceae;37;50.96;Tree;Tree-Tree;Side-Side;Height
S_Ch_004;N_Ch_007;Chimpanzee;Chim_070;Riparian forest;RIP;Pl_1742;Pl_1742-S_Ch_004;Pl_1742-N_Ch_007;Tree;30;Esp_163;Heisteria parvifolia;Olacaceae;19;14.01;Tree;Tree;Side;Height
