Plot_Type;Longitude;Latitude;Plot_Code;SSP;Vegetation_Type;VEG;NP2x2;NP4x4;NLI
Systematic plot;282250;377250;P005;0;Old secondary forest;OSF;17;4;8
Systematic plot;282747;378262;P017;0;Old secondary forest;OSF;15;8;4
Systematic plot;282750;378750;P018;0;Old secondary forest;OSF;13;12;9
Systematic plot;283262;375736;P030;0;Old secondary forest;OSF;9;13;2
Systematic plot;283250;376750;P032;0;Old secondary forest;OSF;14;7;2
Systematic plot;283250;378250;P035;0;Old secondary forest;OSF;8;14;2
Systematic plot;283250;378750;P036;0;Old secondary forest;OSF;13;10;7
Systematic plot;283760;372241;P047;0;Old secondary forest;OSF;10;10;1
Systematic plot;283762;372742;P048;0;Old secondary forest;OSF;11;9;0
Systematic plot;283740;373264;P049;0;Old secondary forest;OSF;11;8;2
Systematic plot;283750;378250;P059;0;Old secondary forest;OSF;12;10;2
Systematic plot;283750;379250;P061;0;Old secondary forest;OSF;14;13;3
Systematic plot;283750;379750;P062;0;Old secondary forest;OSF;9;10;1
Systematic plot;284263;375737;P080;0;Old secondary forest;OSF;15;14;8
Systematic plot;284250;376250;P081;0;Old secondary forest;OSF;13;11;5
Systematic plot;284250;377750;P084;0;Old secondary forest;OSF;13;17;10
Systematic plot;284250;378750;P086;0;Old secondary forest;OSF;12;13;6
Systematic plot;284768;372246;P100;0;Old secondary forest;OSF;13;10;7
Systematic plot;284762;372740;P101;0;Old secondary forest;OSF;20;11;6
Systematic plot;284760;373238;P102;0;Old secondary forest;OSF;11;7;6
Systematic plot;284762;374240;P104;0;Old secondary forest;OSF;13;11;4
Systematic plot;284766;374742;P105;0;Old secondary forest;OSF;12;11;1
Systematic plot;284748;375248;P106;0;Old secondary forest;OSF;17;11;14
Systematic plot;284750;376250;P108;0;Old secondary forest;OSF;8;6;8
Systematic plot;284750;377250;P110;0;Old secondary forest;OSF;15;11;5
Systematic plot;284750;377750;P111;0;Old secondary forest;OSF;11;13;6
Systematic plot;284750;378250;P112;0;Old secondary forest;OSF;12;7;4
Systematic plot;284750;379250;P114;0;Old secondary forest;OSF;18;14;7
Systematic plot;284750;379750;P115;0;Old secondary forest;OSF;13;11;3
Systematic plot;285250;376750;P135;0;Old secondary forest;OSF;16;12;4
Systematic plot;285283;378763;P139;0;Old secondary forest;OSF;11;14;7
Systematic plot;285250;380250;P142;0;Old secondary forest;OSF;16;4;4
Systematic plot;285771;374757;P158;0;Old secondary forest;OSF;15;8;3
Systematic plot;285750;377250;P163;0;Old secondary forest;OSF;8;5;5
Systematic plot;285750;377750;P164;0;Old secondary forest;OSF;9;6;10
Systematic plot;285750;378250;P165;0;Old secondary forest;OSF;12;9;7
Systematic plot;285750;379250;P167;0;Old secondary forest;OSF;18;9;1
Systematic plot;285750;380750;P170;0;Old secondary forest;OSF;16;5;2
Systematic plot;286250;377250;P191;0;Old secondary forest;OSF;13;9;8
Systematic plot;286250;377750;P192;0;Old secondary forest;OSF;14;5;2
Systematic plot;286250;379250;P195;0;Old secondary forest;OSF;15;14;2
Systematic plot;286250;379750;P196;0;Old secondary forest;OSF;11;9;6
Systematic plot;286764;374743;P210;0;Old secondary forest;OSF;11;10;9
Systematic plot;286750;373750;P214;0;Old secondary forest;OSF;12;8;3
Systematic plot;286739;375265;P217;0;Old secondary forest;OSF;15;12;4
Systematic plot;286762;375738;P218;0;Old secondary forest;OSF;8;9;10
Systematic plot;286757;376747;P220;0;Old secondary forest;OSF;13;15;9
Systematic plot;286765;377240;P221;0;Old secondary forest;OSF;14;11;11
Systematic plot;286750;378250;P223;0;Old secondary forest;OSF;6;13;4
Systematic plot;286750;378750;P224;0;Old secondary forest;OSF;5;8;4
Systematic plot;286766;379733;P226;0;Old secondary forest;OSF;14;8;11
Systematic plot;286764;380233;P227;0;Old secondary forest;OSF;11;8;10
Systematic plot;286760;380743;P228;0;Old secondary forest;OSF;5;8;9
Systematic plot;287250;373750;P244;0;Old secondary forest;OSF;16;10;4
Systematic plot;287267;376746;P250;0;Old secondary forest;OSF;13;14;7
Systematic plot;287272;377741;P252;0;Old secondary forest;OSF;9;13;4
Systematic plot;287250;378250;P253;0;Old secondary forest;OSF;16;5;3
Systematic plot;287264;378737;P254;0;Old secondary forest;OSF;9;9;5
Systematic plot;287769;372238;P274;0;Old secondary forest;OSF;20;12;17
Systematic plot;287759;379733;P289;0;Old secondary forest;OSF;12;7;15
Systematic plot;288236;371762;P306;0;Old secondary forest;OSF;16;14;4
Systematic plot;288246;372245;P307;0;Old secondary forest;OSF;16;10;1
Systematic plot;288262;373738;P310;0;Old secondary forest;OSF;11;7;4
Systematic plot;288250;376250;P315;0;Old secondary forest;OSF;14;5;5
Systematic plot;288250;377250;P317;0;Old secondary forest;OSF;19;8;4
Systematic plot;288250;377750;P318;0;Old secondary forest;OSF;11;7;4
Systematic plot;288256;379273;P321;0;Old secondary forest;OSF;12;10;8
Systematic plot;288753;371746;P339;0;Old secondary forest;OSF;15;11;0
Systematic plot;288750;373750;P343;0;Old secondary forest;OSF;11;13;5
Systematic plot;288750;374750;P345;0;Old secondary forest;OSF;13;16;11
Systematic plot;288762;378738;P353;0;Old secondary forest;OSF;7;13;9
Systematic plot;288750;379250;P354;0;Old secondary forest;OSF;15;11;5
Systematic plot;288769;379739;P355;0;Old secondary forest;OSF;11;8;6
Systematic plot;289257;372236;P372;0;Old secondary forest;OSF;17;12;7
Systematic plot;289250;375250;P378;0;Old secondary forest;OSF;8;18;3
Systematic plot;289259;376240;P380;0;Old secondary forest;OSF;12;7;2
Systematic plot;289263;379244;P386;0;Old secondary forest;OSF;9;13;10
Systematic plot;289250;379750;P387;0;Old secondary forest;OSF;14;7;6
Systematic plot;289764;374237;P407;0;Old secondary forest;OSF;17;13;10
Systematic plot;289750;378750;P416;0;Old secondary forest;OSF;9;18;2
Systematic plot;289750;379250;P417;0;Old secondary forest;OSF;8;11;2
Systematic plot;289750;379750;P418;0;Old secondary forest;OSF;1;8;7
Systematic plot;290250;377750;P446;0;Old secondary forest;OSF;14;12;11
Systematic plot;290724;370765;P464;0;Old secondary forest;OSF;11;12;4
Systematic plot;290760;374750;P472;0;Old secondary forest;OSF;13;11;11
Systematic plot;290752;375253;P473;0;Old secondary forest;OSF;5;8;7
Systematic plot;290750;378250;P479;0;Old secondary forest;OSF;11;15;4
Systematic plot;290750;378750;P480;0;Old secondary forest;OSF;12;7;2
Systematic plot;290750;379250;P481;0;Old secondary forest;OSF;8;9;7
Systematic plot;290750;380250;P483;0;Old secondary forest;OSF;11;7;7
Systematic plot;291263;371244;P498;0;Old secondary forest;OSF;15;14;9
Systematic plot;291250;373250;P502;0;Old secondary forest;OSF;18;11;1
Systematic plot;291250;373750;P503;0;Old secondary forest;OSF;20;7;5
Systematic plot;291305;374247;P504;0;Old secondary forest;OSF;13;14;5
Systematic plot;291247;375235;P506;0;Old secondary forest;OSF;22;15;8
Systematic plot;291250;378750;P513;0;Old secondary forest;OSF;12;0;9
Systematic plot;291250;380250;P516;0;Old secondary forest;OSF;3;7;5
Systematic plot;291250;380750;P517;0;Old secondary forest;OSF;10;12;5
Systematic plot;291751;371733;P534;0;Old secondary forest;OSF;12;9;5
Systematic plot;291750;376750;P544;0;Old secondary forest;OSF;18;8;2
Systematic plot;291750;378750;P548;0;Old secondary forest;OSF;14;10;12
Systematic plot;291754;379758;P550;0;Old secondary forest;OSF;15;11;6
Systematic plot;291750;381250;P553;0;Old secondary forest;OSF;14;4;5
Systematic plot;292234;372763;P571;0;Old secondary forest;OSF;16;17;14
Systematic plot;292263;374738;P575;0;Old secondary forest;OSF;16;20;7
Systematic plot;292250;375250;P576;0;Old secondary forest;OSF;17;15;7
Systematic plot;292250;377250;P580;0;Old secondary forest;OSF;16;12;5
Systematic plot;292250;377750;P581;0;Old secondary forest;OSF;11;11;1
Systematic plot;292250;378250;P582;0;Old secondary forest;OSF;18;17;3
Systematic plot;292250;379250;P584;0;Old secondary forest;OSF;10;13;3
Systematic plot;292250;379750;P585;0;Old secondary forest;OSF;7;8;7
Systematic plot;292250;380750;P587;0;Old secondary forest;OSF;8;12;11
Systematic plot;292250;381750;P589;0;Old secondary forest;OSF;11;13;8
Systematic plot;292769;371742;P603;0;Old secondary forest;OSF;12;11;5
Systematic plot;292750;374250;P608;0;Old secondary forest;OSF;13;6;0
Systematic plot;292750;375750;P611;0;Old secondary forest;OSF;11;9;3
Systematic plot;292750;376250;P612;0;Old secondary forest;OSF;16;10;1
Systematic plot;292750;380250;P620;0;Old secondary forest;OSF;13;12;3
Systematic plot;292750;381750;P623;0;Old secondary forest;OSF;5;14;6
Systematic plot;293258;373747;P638;0;Old secondary forest;OSF;9;4;5
Systematic plot;293250;375750;P642;0;Old secondary forest;OSF;13;4;10
Systematic plot;293250;379750;P650;0;Old secondary forest;OSF;7;15;7
Systematic plot;293250;380250;P651;0;Old secondary forest;OSF;18;6;8
Systematic plot;293750;375750;P672;0;Old secondary forest;OSF;10;8;11
Systematic plot;293765;377240;P675;0;Old secondary forest;OSF;16;11;13
Systematic plot;293750;378750;P678;0;Old secondary forest;OSF;13;10;4
Systematic plot;294267;375243;P697;0;Old secondary forest;OSF;15;13;6
Systematic plot;294258;376737;P700;0;Old secondary forest;OSF;10;12;18
Systematic plot;294252;377235;P701;0;Old secondary forest;OSF;9;11;10
Systematic plot;294250;377750;P702;0;Old secondary forest;OSF;15;11;7
Systematic plot;294250;378250;P703;0;Old secondary forest;OSF;12;7;5
Systematic plot;294265;380735;P708;0;Old secondary forest;OSF;7;7;15
Systematic plot;294263;381237;P709;0;Old secondary forest;OSF;10;3;9
Systematic plot;294262;381738;P710;0;Old secondary forest;OSF;11;8;14
Systematic plot;294743;380743;P733;0;Old secondary forest;OSF;10;6;14
Systematic plot;294754;381750;P735;0;Old secondary forest;OSF;11;9;12
Systematic plot;295762;379239;P779;0;Old secondary forest;OSF;5;3;9
Systematic plot;295755;379737;P780;0;Old secondary forest;OSF;8;5;1
Systematic plot;295757;380730;P782;0;Old secondary forest;OSF;10;9;2
Systematic plot;295767;381240;P783;0;Old secondary forest;OSF;12;14;11
Systematic plot;296266;376243;P796;0;Old secondary forest;OSF;14;4;1
Systematic plot;296250;377250;P798;0;Old secondary forest;OSF;11;6;6
Systematic plot;296250;378750;P801;0;Old secondary forest;OSF;18;11;3
Systematic plot;282750;377750;P016;0;Young secondary forest;YSF;18;9;5
Systematic plot;283268;372740;P024;0;Young secondary forest;YSF;12;13;3
Systematic plot;283265;373240;P025;0;Young secondary forest;YSF;16;8;6
Systematic plot;283264;374247;P027;0;Young secondary forest;YSF;8;8;6
Systematic plot;283270;375241;P029;0;Young secondary forest;YSF;13;18;7
Systematic plot;283269;376245;P031;0;Young secondary forest;YSF;13;11;6
Systematic plot;283250;377250;P033;0;Young secondary forest;YSF;11;6;7
Systematic plot;283762;373740;P050;0;Young secondary forest;YSF;17;13;6
Systematic plot;283764;374243;P051;0;Young secondary forest;YSF;11;8;7
Systematic plot;283762;374740;P052;0;Young secondary forest;YSF;16;16;4
Systematic plot;283768;375239;P053;0;Young secondary forest;YSF;17;8;8
Systematic plot;283765;375735;P054;0;Young secondary forest;YSF;9;14;3
Systematic plot;283760;376239;P055;0;Young secondary forest;YSF;8;11;11
Systematic plot;283750;376750;P056;0;Young secondary forest;YSF;13;10;6
Systematic plot;283750;377250;P057;0;Young secondary forest;YSF;16;10;6
Systematic plot;283750;378750;P060;0;Young secondary forest;YSF;8;7;4
Systematic plot;284262;372265;P073;0;Young secondary forest;YSF;9;9;4
Systematic plot;284260;372737;P074;0;Young secondary forest;YSF;13;9;7
Systematic plot;284250;373242;P075;0;Young secondary forest;YSF;14;9;7
Systematic plot;284265;373735;P076;0;Young secondary forest;YSF;17;7;8
Systematic plot;284265;374736;P078;0;Young secondary forest;YSF;10;9;13
Systematic plot;284255;375247;P079;0;Young secondary forest;YSF;11;14;2
Systematic plot;284250;376750;P082;0;Young secondary forest;YSF;18;11;8
Systematic plot;284250;379250;P087;0;Young secondary forest;YSF;13;16;6
Systematic plot;284750;378750;P113;0;Young secondary forest;YSF;15;10;3
Systematic plot;285272;372235;P126;0;Young secondary forest;YSF;4;17;7
Systematic plot;285263;372738;P127;0;Young secondary forest;YSF;13;14;7
Systematic plot;285261;373239;P128;0;Young secondary forest;YSF;7;8;2
Systematic plot;285255;374238;P130;0;Young secondary forest;YSF;10;11;7
Systematic plot;285260;375240;P132;0;Young secondary forest;YSF;14;15;9
Systematic plot;285263;376240;P134;0;Young secondary forest;YSF;16;11;7
Systematic plot;285250;377250;P136;0;Young secondary forest;YSF;13;8;5
Systematic plot;285250;377750;P137;0;Young secondary forest;YSF;14;8;5
Systematic plot;285268;378239;P138;0;Young secondary forest;YSF;9;9;2
Systematic plot;285250;379250;P140;0;Young secondary forest;YSF;8;9;3
Systematic plot;285767;372233;P153;0;Young secondary forest;YSF;9;14;5
Systematic plot;285763;372746;P154;0;Young secondary forest;YSF;12;9;6
Systematic plot;285765;373242;P155;0;Young secondary forest;YSF;18;14;9
Systematic plot;285765;373739;P156;0;Young secondary forest;YSF;14;17;9
Systematic plot;285776;374240;P157;0;Young secondary forest;YSF;18;11;6
Systematic plot;285760;375238;P159;0;Young secondary forest;YSF;19;14;3
Systematic plot;285762;376238;P161;0;Young secondary forest;YSF;16;4;13
Systematic plot;285750;376750;P162;0;Young secondary forest;YSF;15;12;3
Systematic plot;286231;373243;P183;0;Young secondary forest;YSF;8;16;10
Systematic plot;286250;373750;P184;0;Young secondary forest;YSF;11;9;13
Systematic plot;286262;374241;P185;0;Young secondary forest;YSF;16;10;7
Systematic plot;286267;374743;P186;0;Young secondary forest;YSF;8;19;3
Systematic plot;286262;375240;P187;0;Young secondary forest;YSF;16;9;6
Systematic plot;286263;375738;P188;0;Young secondary forest;YSF;6;9;7
Systematic plot;286258;376741;P190;0;Young secondary forest;YSF;10;6;19
Systematic plot;286250;378750;P194;0;Young secondary forest;YSF;17;10;8
Systematic plot;286767;372742;P212;0;Young secondary forest;YSF;11;11;8
Systematic plot;286764;374240;P215;0;Young secondary forest;YSF;18;18;10
Systematic plot;286773;379239;P225;0;Young secondary forest;YSF;14;12;11
Systematic plot;287263;372236;P241;0;Young secondary forest;YSF;18;13;6
Systematic plot;287241;372739;P242;0;Young secondary forest;YSF;8;5;2
Systematic plot;287269;373238;P243;0;Young secondary forest;YSF;16;15;6
Systematic plot;287265;374235;P245;0;Young secondary forest;YSF;13;9;4
Systematic plot;287263;374742;P246;0;Young secondary forest;YSF;15;21;9
Systematic plot;287273;375243;P247;0;Young secondary forest;YSF;11;8;4
Systematic plot;287252;375724;P248;0;Young secondary forest;YSF;13;8;8
Systematic plot;287260;376240;P249;0;Young secondary forest;YSF;13;11;6
Systematic plot;287261;377237;P251;0;Young secondary forest;YSF;2;8;4
Systematic plot;287263;379741;P256;0;Young secondary forest;YSF;7;11;2
Systematic plot;287254;380740;P258;0;Young secondary forest;YSF;9;14;9
Systematic plot;287763;372746;P275;0;Young secondary forest;YSF;16;8;9
